Name,Value
arr_in_arr.test_nested_enum.EN_TEST_NESTED_ENUM_VAL_1,0
arr_in_arr.test_nested_enum.EN_TEST_NESTED_ENUM_VAL_2,123
arr_in_arr.test_nested_message.test_nested_enum.EN_TEST_NESTED_MESSAGE_ENUM_VAL_1,0
arr_in_arr.test_nested_message.test_nested_enum.EN_TEST_NESTED_MESSAGE_ENUM_VAL_2,123
arr_in_arr.test_nested_message.test_onof.kTestNestedMessageInfoRole,11
arr_in_arr.test_nested_message.test_onof.kTestNestedMessageRoleUpgradeCfg,12
arr_in_arr.test_onof.kTestInfoRole,11
arr_in_arr.test_onof.kTestRoleUpgradeCfg,12
cost_type.EN_CT_DIAMOND,10101
cost_type.EN_CT_MONEY,10001
cost_type.EN_CT_UNKNOWN,0
event_cfg.reward.kEnumType,14
event_cfg.reward.kItem,11
event_cfg.reward.kNote,13
event_cfg.reward.kUserExp,12
event_cfg.unlock_type.kUserLevel,51
event_reward_item.nested.kNestedEnumType,12
event_reward_item.nested.kNestedNote,11
event_rule_item.nested.kNestedEnumType,12
event_rule_item.nested.kNestedNote,11
game_const_config.EN_GCC_ACTIVITY_TYPE_MASK,1000
game_const_config.EN_GCC_CAMERA_OFFSET,268
game_const_config.EN_GCC_FORMULAR_TYPE_MASK,10
game_const_config.EN_GCC_LEVEL_LIMIT,999
game_const_config.EN_GCC_PERCENT_BASE,10000
game_const_config.EN_GCC_RANDOM_RANGE_UNIT,10
game_const_config.EN_GCC_RESOURCE_MAX_LIMIT,9999999
game_const_config.EN_GCC_SCREEN_HEIGHT,640
game_const_config.EN_GCC_SCREEN_WIDTH,1136
game_const_config.EN_GCC_SOLDIER_TYPE_MASK,100
game_const_config.EN_GCC_UNKNOWN,0
